'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
18/08/2016;'CAFET.C T PRAT\PR';-3,45 €;'EUROS';'Compras.';'PAGADO';840;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
19/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';841;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
19/08/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';842;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
19/08/2016;'AUTOPISTA MARE NOSTRUM';-7,10 €;'EUROS';'Compras.';'PAGADO';843;'AUTOPISTA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
19/08/2016;'A.C.E.S.A B MART -L S CON';-10,55 €;'EUROS';'Compras.';'PAGADO';844;'ACESA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
19/08/2016;'CINES OSCAR';-24,30 €;'EUROS';'Compras.';'PAGADO';845;'CINES';'Gastos_Ocio y transporte';'Espectáculos';'VARIABLES'
22/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';846;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
22/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';847;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
23/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';848;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
23/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';849;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
24/08/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';850;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
24/08/2016;'PARKING VAPOR GRA';-2,55 €;'EUROS';'Compras.';'PAGADO';851;'PARKING';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
24/08/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';852;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
24/08/2016;'REDPIZZA';-24,15 €;'EUROS';'Compras.';'PAGADO';853;'REDPIZZA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
25/08/2016;'CAFET.C T PRAT\PR';-3,30 €;'EUROS';'Compras.';'PAGADO';854;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
25/08/2016;'IKEA REST. SABADE';-18,45 €;'EUROS';'Compras.';'PAGADO';855;'IKEA';'Gastos_Vivienda y vehiculo';'Mnto. hogar';'VARIABLES'
25/08/2016;'LEROY MERLIN SABA';-37,95 €;'EUROS';'Compras.';'PAGADO';856;'LEROY';'Gastos_Vivienda y vehiculo';'Mnto. hogar';'VARIABLES'
25/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';857;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
25/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';858;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
26/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';859;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
26/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';860;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
